,Desc_word_count,channelSubscribers,dayslive,mean_energy_entropy,mean_spectral_entropy,Description_ne_counts,Title_ne_counts,tags_composer,Title_composer,Description_composer,tags_artists,Title_artists,Description_artists,tags_instruments,Title_instruments,Description_instruments,tags_genres,Title_genres,Description_genres,tags_count,Title_pos,Description_pos,tags_pos,mfccPC1,mfccPC2,views_cat,viewCount
1466,22,135.0,1987.204351851852,3.179068105876941,0.6885804783411562,9,5,1,1,1,0,0,0,2,0,1,0,0,0,33,0.0,0.0,0.0,-0.13902176267898264,0.32240030821780996,3,27089.0
1467,20,17.0,442.23082175925924,3.2254911210229684,0.19286908974610548,9,4,0,0,0,0,0,0,0,0,2,0,0,0,8,-0.1,0.0,0.0,-1.3395334272477966,0.9496689027557166,1,908.0
1468,27,33840.0,895.7596180555555,3.1510957951013543,0.6148356278213615,8,11,1,2,1,0,1,1,1,1,0,0,0,0,10,0.0,-0.03333333333333333,0.0,1.3268094089112603,2.225218275248289,3,48716.0
1469,18,1340.0,2276.062511574074,3.2201312059997185,0.19795357505135053,10,2,2,1,1,2,0,0,2,0,4,0,0,0,28,0.0,0.0,0.0,1.0091510162692994,2.8953000388072403,2,5195.0
1470,25,1816.0,578.6817129629629,2.7494608479239973,0.1572752315860854,12,6,7,5,6,0,0,0,0,0,0,0,0,0,22,0.0,0.4,0.06818181818181818,7.41610086188392,-0.17513938375746263,1,442.0
1471,17,487.0,1841.401585648148,3.210690294438165,1.0013255740821208,14,6,0,1,2,0,0,0,0,0,2,0,0,0,14,0.0,0.0,0.0,0.32810322304516254,1.2002811625939314,2,3065.0
1472,28,21905.0,1217.4559375,3.1184609105506063,0.09310564027437827,18,6,0,0,2,0,0,0,0,0,0,0,0,0,4,0.0,0.0,0.1,1.1204950145181323,2.1774845262273375,0,11.0
1473,12,70.0,374.30450231481484,3.1665656212498288,0.09956803494758527,2,3,0,0,0,0,0,0,2,0,0,0,0,0,33,0.13636363636363635,0.0,0.3598484848484848,-2.644312860592619,0.05449126367880632,1,602.0
1474,26,2513.0,13.4465625,2.8713953097874985,0.3315552025321436,5,2,0,0,0,0,0,0,0,0,0,0,0,0,14,0.0,0.05000000000000002,0.05,2.6030202292161424,-2.178124673775065,0,47.0
1475,0,1.0,1924.7813541666667,3.1662001621017963,0.20644516539499572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-2.461746720977057,-2.2722233478203893,0,114.0
